matrix_name,cohort,N,n_features,min_cluster_size,min_samples_setting,min_samples_value,n_clusters_excluding_noise,n_noise_points,noise_fraction,n_non_noise_points,non_noise_fraction,cluster_sizes,cluster_proportions,min_cluster_size_actual,max_cluster_size_actual,silhouette_non_noise,calinski_harabasz_non_noise,davies_bouldin_non_noise,mean_prob_non_noise,median_prob_non_noise,mean_prob_all,runtime_seconds,sklearn_version
B_RAW,Cohort_B,967,24,5,5,5,3,920,0.9514,47,0.0486,"{""0"": 10, ""1"": 32, ""2"": 5}","[0.0052, 0.0103, 0.0331]",5,32,0.2012,10.66,1.402,0.9774,0.9845,0.0475,0.274,1.4.1.post1
B_RAW,Cohort_B,967,24,5,10,10,2,934,0.9659,33,0.0341,"{""0"": 5, ""1"": 28}","[0.0052, 0.029]",5,28,0.2296,7.39,1.336,0.9734,0.9837,0.0332,0.298,1.4.1.post1
B_RAW,Cohort_B,967,24,10,3,3,2,856,0.8852,111,0.1148,"{""0"": 95, ""1"": 16}","[0.0165, 0.0982]",16,95,0.1289,12.13,1.936,0.9265,0.9161,0.1064,0.447,1.4.1.post1
B_RAW,Cohort_B,967,24,10,5,5,2,919,0.9504,48,0.0496,"{""0"": 10, ""1"": 38}","[0.0103, 0.0393]",10,38,0.2309,12.93,1.426,0.9777,0.9913,0.0485,0.417,1.4.1.post1
B_RAW,Cohort_B,967,24,10,10,10,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.405,1.4.1.post1
B_RAW,Cohort_B,967,24,15,3,3,2,856,0.8852,111,0.1148,"{""0"": 95, ""1"": 16}","[0.0165, 0.0982]",16,95,0.1289,12.13,1.936,0.9746,0.9792,0.1119,0.375,1.4.1.post1
B_RAW,Cohort_B,967,24,15,5,5,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.353,1.4.1.post1
B_RAW,Cohort_B,967,24,15,10,10,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.302,1.4.1.post1
B_RAW,Cohort_B,967,24,25,3,3,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.444,1.4.1.post1
B_RAW,Cohort_B,967,24,25,5,5,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.397,1.4.1.post1
B_RAW,Cohort_B,967,24,25,10,10,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.394,1.4.1.post1
B_LOG,Cohort_B,967,24,5,3,3,2,468,0.484,499,0.516,"{""0"": 494, ""1"": 5}","[0.0052, 0.5109]",5,494,0.0573,4.53,1.66,0.9482,0.9501,0.4893,0.441,1.4.1.post1
B_LOG,Cohort_B,967,24,5,5,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}","[0.0186, 0.0465]",18,45,0.2259,18.64,1.583,0.9498,0.9455,0.0619,0.336,1.4.1.post1
B_LOG,Cohort_B,967,24,5,10,10,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.311,1.4.1.post1
B_LOG,Cohort_B,967,24,10,3,3,2,841,0.8697,126,0.1303,"{""0"": 43, ""1"": 83}","[0.0445, 0.0858]",43,83,0.1912,31.49,1.846,0.9634,0.9652,0.1255,0.228,1.4.1.post1
B_LOG,Cohort_B,967,24,10,5,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}","[0.0186, 0.0465]",18,45,0.2259,18.64,1.583,0.9747,0.976,0.0635,0.253,1.4.1.post1
B_LOG,Cohort_B,967,24,10,10,10,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.276,1.4.1.post1
B_LOG,Cohort_B,967,24,15,3,3,2,841,0.8697,126,0.1303,"{""0"": 43, ""1"": 83}","[0.0445, 0.0858]",43,83,0.1912,31.49,1.846,0.9732,0.9778,0.1268,0.249,1.4.1.post1
B_LOG,Cohort_B,967,24,15,5,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}","[0.0186, 0.0465]",18,45,0.2259,18.64,1.583,0.9871,1.0,0.0643,0.235,1.4.1.post1
B_LOG,Cohort_B,967,24,15,10,10,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.235,1.4.1.post1
B_LOG,Cohort_B,967,24,25,3,3,2,841,0.8697,126,0.1303,"{""0"": 43, ""1"": 83}","[0.0445, 0.0858]",43,83,0.1912,31.49,1.846,0.9866,0.9973,0.1285,0.246,1.4.1.post1
B_LOG,Cohort_B,967,24,25,5,5,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.245,1.4.1.post1
B_LOG,Cohort_B,967,24,25,10,10,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.232,1.4.1.post1
